Nome prodotto,Principio attivo,Avversità,N.R.,Unità di misura,Trattamenti,Magazzino,Created
ENERVIN TOP ,Ametocradina 12% + Metiram 44%,Peronospora,14812,Kg,,,22/3/2020
FLOWBRIX NC ,"Ossicloruro tetraramico g 25,42 (=380 g/l)",Peronospora,12504,l,,,22/3/2020
FOLPEC,Folpet 80%,Peronospora,13485,Kg,,,22/3/2020
FORUM MZ,"Dimetomorf puro g 9 Mancozeb, puro g 60",Peronospora,10329,Kg,,,22/3/2020
FORUM R,"Dimetomorf, puro g 6 Rame metallo (da ossicloruro) g 40",Peronospora,8731,Kg,,,22/3/2020
HELIOCUIVRE S,"Rame metallo (come idrossidodi Cu) g 19.94 (= 266,4 g/l)",Peronospora,13521,l,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE S,,22/3/2020
HELIOCUIVRE,"Rame metallo (come idrossido di Cu) g 26,2 (=400 g/l)",Peronospora,12170,l,"Tenute del Vino - Vigneti 360 - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tutte - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Tutte - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,L'Alegra / Vite - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + HELIOCUIVRE,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Tutte - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Tenute del Vino - Vigneti 360 - Ponti - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE,Cascina Alberta - Tutte - Tutti + HELIOCUIVRE",,22/3/2020
IDROX 20 WG ,Idrossido di rame 20%,Peronospora,16205,Kg,,,22/3/2020
KOCIDE OPTI   ,Idrossido di rame 30%,Peronospora,14686,Kg,,,22/3/2020
MILDICUT,"Cyazofamid g 2,03 (=25 g/l) - Fosfonato di disodio g 20,32 (=25 g/l)",Peronospora,12453,l,,,22/3/2020
OSSICLOR 30,Ossicloruro al 30%,Peronospora,9612,Kg,,,22/3/2020
PASTA SIAPA,"Ossicloruro tetraramico g 25,42 (=377,5 g/l)",Peronospora,12780,l,,,22/3/2020
PENCOZEB DG,Mancozeb 75%,Peronospora,4189,Kg,,,22/3/2020
PERGADO F,Mandipropamid 5% + Folpet 40%,Peronospora,13637,Kg,"Mauro Sebaste - Albese - Tutti + PERGADO F,Mauro Sebaste - Roncaglie - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Alba - Cerequio - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + PERGADO F,Soc. Coop. Pusabren - Tutte - Tutti + PERGADO F,Mauro Sebaste - Albese - Tutti + PERGADO F,Mauro Sebaste - Roncaglie - Tutti + PERGADO F,Mauro Sebaste - Astigiano - Tutti + PERGADO F,Paolo Scavino di Enrico Scavino - Tutte - Tutti + PERGADO F,Michele Chiarlo SRL - Tutte - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + PERGADO F,Prunotto / Alba - Tutte - Tutti + PERGADO F,Prunotto / Diano - Tutte - Tutti + PERGADO F,Prunotto / Asti - Tutte - Tutti + PERGADO F,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + PERGADO F,Ca' Rome' - Tutte - Tutti + PERGADO F,Antinori Soc. Agricola ARL - Tutte - Tutti + PERGADO F,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PERGADO F,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PERGADO F,Carlin De Paolo - Tutte - Tutti + PERGADO F,Prunotto / Pian Romualdo - Tutte - Tutti + PERGADO F,La Cardinala - Merlot e Cabernet - Tutti + PERGADO F,La Cardinala - Chardonnay - Tutti + PERGADO F,La Cardinala - Syrah - Tutti + PERGADO F,Rubbiolo Matteo - Tutte - Tutti + PERGADO F,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + PERGADO F,Soc. Coop. Pusabren - Tutte - Tutti + PERGADO F,Prunotto / Asti - Tutte - Tutti + PERGADO F,Michele Chiarlo SRL - Tutte - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + PERGADO F,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + PERGADO F,Prunotto / Alba - Tutte - Tutti + PERGADO F,Prunotto / Diano - Tutte - Tutti + PERGADO F,Prunotto / Pian Romualdo - Tutte - Tutti + PERGADO F,Ca' Rome' - Tutte - Tutti + PERGADO F,Antinori Soc. Agricola ARL - Tutte - Tutti + PERGADO F,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + PERGADO F,Paolo Scavino di Enrico Scavino - Tutte - Tutti + PERGADO F,Carlin De Paolo - Tutte - Tutti + PERGADO F,Mauro Sebaste - Albese - Tutti + PERGADO F,Mauro Sebaste - Roncaglie - Tutti + PERGADO F,Mauro Sebaste - Astigiano - Tutti + PERGADO F,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + PERGADO F,Prunotto / Pian Romualdo - Tutte - Tutti + PERGADO F,Rubbiolo Matteo - Tutte - Tutti + PERGADO F,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + PERGADO F,La Cardinala - Merlot e Cabernet - Tutti + PERGADO F,La Cardinala - Chardonnay - Tutti + PERGADO F,La Cardinala - Syrah - Tutti + PERGADO F,Prunotto / Pian Romualdo - Tutte - Tutti + PERGADO F,Rubbiolo Matteo - Tutte - Tutti + PERGADO F,La Cardinala - Merlot e Cabernet - Tutti + PERGADO F,La Cardinala - Chardonnay - Tutti + PERGADO F,La Cardinala - Syrah - Tutti + PERGADO F,Mauro Sebaste - Astigiano - Tutti + PERGADO F",,22/3/2020
PERGADO MZ WG ,Mandipropamid 5% + Mancozeb 60%,Peronospora,13742,Kg,,,22/3/2020
POLTIGLIA BORD DISPERS X15,Rame metallo g 20 (sotto forma di solfato neutralizzato con calce idrossido),Peronospora,12096,Kg,"Tenute del Vino - Vigneti 360 - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Rubbiolo Matteo - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Paolo Scavino di Enrico Scavino - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Rubbiolo Matteo - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Michele Chiarlo SRL - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Soc. Coop. Pusabren - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Prunotto / Asti - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Rubbiolo Matteo - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Prunotto / Asti - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Michele Chiarlo SRL - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Soc. Coop. Pusabren - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Rubbiolo Matteo - Tutte - Tutti + POLTIGLIA BORD DISPERS X15,Rubbiolo Matteo - Tutte - Tutti + POLTIGLIA BORD DISPERS X15",,22/3/2020
POLYRAM DF,Metiram 70%,Peronospora,7916,Kg,,,22/3/2020
PREVIN TOP,Ametocradina  g 12 Metiram puro g 44,Peronospora,15591,Kg,,,22/3/2020
QUIVER TOP,"Rame solfato tribasico 14,84% (=190 g/L)",Peronospora,12079,l,,,22/3/2020
QUANTUM F,"Dimetomorf, puro g 11,3 Folpet  puro g 60",Peronospora,13298,Kg,,,22/3/2020
QUANTUM MZ,"Dimetomorf, puro g 9 Mancozeb, puro g 60",Peronospora,13785,Kg,,,22/3/2020
RIDOMIL GOLD MZ,"Metalaxil-M 3,90% + Mancozeb 64 %",Peronospora,12383,Kg,,,22/3/2020
RIDOMIL GOLD R,"Metalaxil-M 2% + Rame da ossicloruro 14,19 %",Peronospora,14642,Kg,,,22/3/2020
SOLOFOL,Folpet 80%,Peronospora,13585,Kg,,,22/3/2020
TRI-BASE,"Rame solfato tribasico 14,84 % (=190 g/L)",Peronospora,14178,l,,,22/3/2020
ZORVEC ZELAVIN BRIA 4HA,Zorvec Zelavin® (Oxathiapiprolin): 10% Flovine® (Folpet): 80%,Peronospora,16896 -17111,N.,,,22/3/2020
ZORVEC ZELAVIN VEL 1 HA ,Zorvec Zelavin® (Oxathiapiprolin): 10% Movida (Zoxamide ): 24%,Peronospora,16896 -17111,N.,,,22/3/2020
ZORVEC ZELAVIN VEL 4 HA ,Zorvec Zelavin® (Oxathiapiprolin): 10% Movida (Zoxamide ): 24%,Peronospora,16896 -17111,N.,,,22/3/2020
ZOXIUM 240 SC,"zoxamide 21,80% (= 240,00 g/L)",Peronospora,14062,l,,,22/3/2020
ASSET,Piretro naturale 4%,Scaphoideus titanus / cicaline,12100,l,,,22/3/2020
EPIK SL,"Acetamiprid puro  g. 4,67 (=50 g/l)",Scaphoideus titanus / cicaline,16325,l,"Mauro Sebaste - Astigiano - Tutti + EPIK SL,Mauro Sebaste - Albese - Tutti + EPIK SL,Mauro Sebaste - Astigiano - Tutti + EPIK SL,Mauro Sebaste - Roncaglie - Tutti + EPIK SL,Paolo Scavino di Enrico Scavino - Tutte - Tutti + EPIK SL,Prunotto / Alba - Tutte - Tutti + EPIK SL,Prunotto / Diano - Tutte - Tutti + EPIK SL,Prunotto / Asti - Tutte - Tutti + EPIK SL,Michele Chiarlo SRL - Tutte - Tutti + EPIK SL,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + EPIK SL,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + EPIK SL,Ca' Rome' - Tutte - Tutti + EPIK SL,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + EPIK SL,Antinori Soc. Agricola ARL - Tutte - Tutti + EPIK SL,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + EPIK SL,Soc. Coop. Pusabren - Tutte - Tutti + EPIK SL,Carlin De Paolo - Tutte - Tutti + EPIK SL,Carlin De Paolo - Tutte - Tutti + EPIK SL,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + EPIK SL,Rubbiolo Matteo - Tutte - Tutti + EPIK SL,Prunotto / Pian Romualdo - Tutte - Tutti + EPIK SL",,22/3/2020
METEOR,"Deltametrina 1,51% (=15,70 g/l)",Scaphoideus titanus / cicaline,10976,l,,,22/3/2020
SIVANTO PRIME 200 SL,"Flupyradifurone puro  17,1 g (200 g/l)",Scaphoideus titanus / cicaline,16273,l,,,22/3/2020
TREBON UP ,"Etofenprox puro  g. 30 (=287,5 g/l)",Scaphoideus titanus / cicaline,8735,N.,"Rubbiolo Matteo - Tutte - Tutti + TREBON UP ,Mauro Sebaste - Albese - Tutti + TREBON UP ,Mauro Sebaste - Roncaglie - Tutti + TREBON UP ,Mauro Sebaste - Astigiano - Tutti + TREBON UP ,Carlin De Paolo - Tutte - Tutti + TREBON UP ,Prunotto / Alba - Tutte - Tutti + TREBON UP ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + TREBON UP ,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + TREBON UP ,Ca' Rome' - Tutte - Tutti + TREBON UP ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + TREBON UP ,Soc. Coop. Pusabren - Tutte - Tutti + TREBON UP ,Prunotto / Asti - Tutte - Tutti + TREBON UP ,Michele Chiarlo SRL - Tutte - Tutti + TREBON UP ,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + TREBON UP ,Prunotto / Diano - Tutte - Tutti + TREBON UP ,Antinori Soc. Agricola ARL - Tutte - Tutti + TREBON UP ,Prunotto / Pian Romualdo - Tutte - Tutti + TREBON UP ,Paolo Scavino di Enrico Scavino - Tutte - Tutti + TREBON UP ,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + TREBON UP ",,22/3/2020
CORAGEN,Clorantraniliprole 18.4% (200.0 g/l),Tignole,13981,l,"Mauro Sebaste - Albese - Tutti + CORAGEN,Mauro Sebaste - Roncaglie - Tutti + CORAGEN,Mauro Sebaste - Astigiano - Tutti + CORAGEN,Soc. Coop. Pusabren - Tutte - Tutti + CORAGEN,Michele Chiarlo SRL - Tutte - Tutti + CORAGEN,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + CORAGEN,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + CORAGEN,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + CORAGEN",,22/3/2020
CHIKARA 25 WG,Flazasulfuron 25%,Infestanti,,kg,,,25/3/2020
Cell,Deltametrin 25%,Nottue,13796,l,,,26/3/2020
concime fogliare 20-20-20,,fisiopatie,,kg,,,2/4/2020
Bayteroid 25 Ec,"Beta-CIFLUTRIN puro 2,6 g (= 25 g/l)",Nottue,13820,l,,,2/4/2020
Lobetec,"(E,Z)-7,9-Dodecadienyl acetate",tignole,16735,n,,,2/4/2020
Wonderlawn Play,seme da inerbimento,,,Kg,,,14/4/2020
Mancozeb Plus 80,Mancozeb 80%,Peronospora,5381,Kg,,,22/4/2020
Bed,Solfato di Manganese,Fisiopatite,,l,,,25/4/2020
Zolfo sc,zolfo 80 gr/l,Oidio,15313,litri,,,4/5/2020
Boro green,,fisiopatie,,kg,,,5/5/2020
Ilsamin multi,,Fisiopatie,,l,,,5/5/2020
Kinglife fruit,"6-9,5-18 piu' Mg e Boro",Fisiopatie,,Kg,,,11/5/2020
Veliero 500 EC,spiroxamina  g/l,oidio,16460,l,,,11/5/2020
Fructol Bio,,fisiopatie,,l,Paolo Scavino di Enrico Scavino - Tutte - Tutti + Fructol Bio,,13/5/2020
Pergado Sc,Mandipropamide,Peronospora,13382,l,Broccardo SS - Tutte - Tutti + Pergado Sc,,14/5/2020
alghe + microelementi,,,,l,,,15/5/2020
Zorvec Zelavin,Oxathiapiprolin,peronospora,16896,l,,,17/5/2020
Flovine,Folpet,peronospora,16896,kg,,,17/5/2020
Topas 10 EC,Penconazolo  10.1,Oidio,6945,l,,,20/5/2020
Enovit metil,Tiofanato Metile 41.70%,Gleosporium,7611,l,,,25/5/2020
Signum,Boscalid 26.7 +Piraclostrobin 6.7 %,Necrosi Grigia,12869,kg,,,25/5/2020
Tiovit L,Zolfo 600 g/l,Oidio,17069,l,,,26/5/2020
BitterMag,solfato di magnesio,fisiopatie,,Kg,Paolo Scavino di Enrico Scavino - Tutte - Tutti + BitterMag,,26/5/2020
Zorvec Vinabel,Oxathiapiprolin 40 g/L +Zoxamide 300 g/L,Peronospora,17248,l,,,4/6/2020
Damark 125,Tetraconazolo 11.60,oidio,13065,l,,,9/6/2020
Domark 125,Tetraconazolo 125 g/L,Oidio,13065,l,"Mauro Sebaste - Albese - Tutti + Domark 125,Mauro Sebaste - Roncaglie - Tutti + Domark 125",,9/6/2020
Fogliacon 22,,fisiopatie,,l,,,9/6/2020
Movida,Zoxamide,Peronospora 240 g/l,17075,l,,,9/6/2020
CaMag Compo,Ca e Mg,fisiopatie,,l,,,10/6/2020
Sarumo,Tetraconazolo 40 g/l,oidio,16939,l,,,10/6/2020
Thiocur 20 EW,Miclobutanil ,oidio,9905,l,,,26/6/2020
Vini Fol,Folpet,Peronospora,17311,kg,,,29/6/2020
Isabion,,fisiopatie,,l,L'Alegra / Nocciole - Tutte - Tutti + Isabion,,30/6/2020
Flint, trifloxystrobin,black rot,11119,l,,,30/6/2020
Siapton,,Fisiopatie,,l,,,1/7/2020
Asset Five,Piretro Naturale,16776,,l,"Cascina Alberta - Tutte - Tutti + Asset Five,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Asset Five,Tenute del Vino - Vigneti 360 - Ponti - Tutti + Asset Five,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Asset Five,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Asset Five,Tenute del Vino - Vigneti 360 - Ponti - Tutti + Asset Five,Cascina Alberta - Tutte - Tutti + Asset Five,Tenute del Vino - Vigneti 360 - Ponti - Tutti + Asset Five,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Asset Five,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Asset Five,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Asset Five,Cascina Alberta - Tutte - Tutti + Asset Five,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Asset Five",,2/7/2020
Tiolene,zolfo ,Oidio,7764,Kg,"Prunotto / Asti - Agliano  - Tutti + Tiolene,Michele Chiarlo SRL - Tutte - Tutti + Tiolene,Prunotto / Alba - Tutte - Tutti + Tiolene,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Tiolene,Ca' Rome' - Tutte - Tutti + Tiolene,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Tiolene,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Tiolene,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Tiolene,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Tiolene,Prunotto / Diano - Tutte - Tutti + Tiolene,Antinori Soc. Agricola ARL - Tutte - Tutti + Tiolene,Cascina Alberta - Tutte - Tutti + Tiolene",,4/7/2020
Sivanto Prime,Flupyradifurone,Scaphoideus Titanus,16273,l,"Mauro Sebaste - Albese - Tutti + Sivanto Prime,Mauro Sebaste - Roncaglie - Tutti + Sivanto Prime",,4/7/2020
Electis R Flow,rame - solfato tribasico di rame + zoxamide,Peronospora,15419,l,,,4/7/2020
Ilsamin CaMg,Calcio e Magnesio,Fisiopatie,,l,,,4/7/2020
Cuprossil idro new 20 Wg,Idrossido di rame,Peronospora,9311,Kg,,,4/7/2020
Rapax AS,Bacillus Thuringensis,tignole,16295,l,,,6/7/2020
Foliacon 22,Calcio e Magnesio,Fisiopatie,,l,,,6/7/2020
Polvere di Roccia bio,Talco E55,Oidio-scottature solari,14807/96,kg,,,7/7/2020
Basic,Rame solfato tribasico  19 %,Peronospora,14018,l,"Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Basic",,8/7/2020
Actisel,"Magnesio,Manganese e Zinco",Fisiopatie,,Kg,,,8/7/2020
GRIFON PIU',idrossido di rame + ossicloruro di rame,Peronospora,12748,Kg,,,13/7/2020
Copperfiled 17 wg,Idrossido di rame,peronospora,16197,kg,,,16/7/2020
Invelop White Protect,Talco,Bruciature da sole,,kg,,,20/7/2020
Ferticus 40 M,,fidiopatie,,kg,Cascina Alberta - Tutte - Tutti + Ferticus 40 M,,30/7/2020
Cosavet DF Edge,zolfo ,oidio,15149,kg,,,4/8/2020
3LOGY,"Eugeniolo, Geraniolo,Timolo",Botrite,16480,l,,,5/8/2020
Hascon M10,,fisiopatie,,l,,,7/9/2020
Coprantol Trio,Rame solfato tribasico 142 g/l,Peronospora,,l,,,15/9/2020
Poltiglia 20 Wg,rame 20%,,16457,Kg,,,18/11/2020
Gallery,Isoxaben,Infestanti,8146,l,,,24/3/2021
Roundup power,Glifosate 360 g/l,infestanti,13098,l,"Prunotto / Alba - Tutte - Tutti + Roundup power,Mauro Sebaste - Albese - Tutti + Roundup power,Mauro Sebaste - Roncaglie - Tutti + Roundup power,Mauro Sebaste - Astigiano - Tutti + Roundup power",,24/3/2021
Abyss,Carbonio Organico + Mannitolo,Fisiopatie,,l,,,22/4/2021
Eranthis,Carbonio Organico,Fisiopatie,,l,"Prunotto / Asti - Calliano - Tutti + Eranthis,Prunotto / Asti - Tutte - Tutti + Eranthis",,22/4/2021
Alghe Maxibust,,fisiopatie,,litri,,,30/4/2021
Forum 50,Dimetomorf,Peronospora,,kg,,,13/5/2021
Quantum L,Dimetomorf,Peronospora,,l,,,13/5/2021
Mago,Sorbion mono oleato etossilato,Antideriva,17360,l,,,17/5/2021
KINGLIFE FRUIT,,Fisiopatie,,litri,,,24/5/2021
Stratos Ultra ,Cicloxidim,infestanti,10117,litri,"Prunotto / Asti - Calliano - Tutti + Stratos Ultra ,Prunotto / Alba - Tutte - Tutti + Stratos Ultra ",,26/5/2021
Gondor,Lecitina di soia,Bagnante,,l,,,26/5/2021
Concorde 40 EW,Tetraconazolo,Oidio,10381,l,,,26/5/2021
Trafos B-MN-Fe,concime ,fisiopatie,,l,,,3/6/2021
Genkotsu,Amisulbron,Pronospora,17211,l,,,3/6/2021
Final K,,Fisiopatie,,l,,,4/6/2021
