Nome prodotto,Principio attivo,Avversità,N.R.,Unità di misura,Trattamenti,Magazzino,Created
Zorvec Vinabria,Folpet + OXathiapiprolin,Peronospora,16957,l,"Mauro Sebaste - Albese - Tutti + Zorvec Vinabria,Mauro Sebaste - Roncaglie - Tutti + Zorvec Vinabria,Mauro Sebaste - Astigiano - Tutti + Zorvec Vinabria,Paolo Scavino di Enrico Scavino - Tutte - Tutti + Zorvec Vinabria,La Cardinala - Merlot e Cabernet - Tutti + Zorvec Vinabria,La Cardinala - Chardonnay - Tutti + Zorvec Vinabria,La Cardinala - Syrah - Tutti + Zorvec Vinabria,Prunotto / Alba - Tutte - Tutti + Zorvec Vinabria,Prunotto / Diano - Tutte - Tutti + Zorvec Vinabria,Prunotto / Asti - Tutte - Tutti + Zorvec Vinabria,Michele Chiarlo SRL - Tutte - Tutti + Zorvec Vinabria,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Zorvec Vinabria,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Zorvec Vinabria,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Zorvec Vinabria,Ca' Rome' - Tutte - Tutti + Zorvec Vinabria,Soc. Coop. Pusabren - Tutte - Tutti + Zorvec Vinabria,Antinori Soc. Agricola ARL - Tutte - Tutti + Zorvec Vinabria,Carlin De Paolo - Tutte - Tutti + Zorvec Vinabria,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Zorvec Vinabria,Carlin De Paolo - Tutte - Tutti + Zorvec Vinabria,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Zorvec Vinabria",,8/6/2021
Actisel ,"Magnesio , zolfo e manganese",fisiopatie,,kg,,,15/6/2021
Intrepid,Metossifenozide,Tignole,15130,l,,,22/6/2021
Lieto Sc,Zoxamide +Cimoxanil,Peronospora,16335,l,,,25/6/2021
Zorvec Vinabel,Zoxamide 300 g/L Oxathiapiprolin 40 g/L,Peronospora,17248,l,,,27/6/2021
Vesticor,"Chlorantraniliprole g 18,4",Tignole,16846,l,,,27/6/2021
Laser,"SPINOSAD puro g. 44,2 (480 g/l)",Tripidi,11693,litri,,,28/6/2021
Orondis,"10,1% 100 g/lOxathiapiprolin",Peronospora,17461,l,,,2/7/2021
Folpan 80 wg,Folpet ,Peronospora,8601,kg,"Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Folpan 80 wg,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Folpan 80 wg,Rubbiolo Matteo - Tutte - Tutti + Folpan 80 wg,Paolo Scavino di Enrico Scavino - Tutte - Tutti + Folpan 80 wg,Mauro Sebaste - Astigiano - Tutti + Folpan 80 wg,La Cardinala - Tutte - Tutti + Folpan 80 wg,Broccardo SS - Tutte - Tutti + Folpan 80 wg,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Folpan 80 wg,Broccardo SS - Tutte - Tutti + Folpan 80 wg,La Cardinala - Pinot nero - Tutti + Folpan 80 wg,La Cardinala - Pinot nero - Tutti + Folpan 80 wg,Prunotto / Alba - Tutte - Tutti + Folpan 80 wg,Prunotto / Diano - Tutte - Tutti + Folpan 80 wg",,2/7/2021
Airone più ,"rame - idrossido di rame 14,00% rame - ossicloruro di rame 14,00%",Peronospora,12737,kg,,,2/7/2021
Flipper,Sali potassici di acidi grassi,Cicalina,,l,,,4/7/2021
Cantus,Boscalid,Oidio - Botrite,12862,kg,,,5/7/2021
Ilsamin mmz,,fisiopatie,,l,,,14/7/2021
Coprantol trio (nocciolo),Rame 14.6,Cancro Batterico,,litri,,,27/11/2021
Revolution,pyraflufen-ethyl ,infestanti,16667,litri,"Prunotto / Asti - Agliano  - Tutti + Revolution,Prunotto / Diano - Tutte - Tutti + Revolution,Antinori Soc. Agricola ARL - Tutte - Tutti + Revolution,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Revolution",,30/3/2022
Cleanclaster,Magnesio fosfonato,Coadiuvante per erbicidi,16208,litri,,,31/3/2022
Inex-A,,Bagnante,,litri,,,31/3/2022
Folpan 80,Folpet 80%,Peronospora,8601,kg,"La Cardinala - Tutte - Tutti + Folpan 80,La Cardinala - Pinot nero - Tutti + Folpan 80,Paolo Scavino di Enrico Scavino - Tutte - Tutti + Folpan 80,Prunotto / Asti - Tutte - Tutti + Folpan 80,Michele Chiarlo SRL - Tutte - Tutti + Folpan 80,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Folpan 80,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Folpan 80,Ca' Rome' - Tutte - Tutti + Folpan 80,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Folpan 80,Soc. Coop. Pusabren - Tutte - Tutti + Folpan 80,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Folpan 80,Rubbiolo Matteo - Tutte - Tutti + Folpan 80,Prunotto / Pian Romualdo - Tutte - Tutti + Folpan 80",,7/5/2022
Folder 80,Folpet ,Peronospora,16068,kg,"Mauro Sebaste - Albese - Tutti + Folder 80,Mauro Sebaste - Roncaglie - Tutti + Folder 80,Mauro Sebaste - Astigiano - Tutti + Folder 80,Prunotto / Alba - Tutte - Tutti + Folder 80,Prunotto / Diano - Tutte - Tutti + Folder 80,Prunotto / Asti - Tutte - Tutti + Folder 80,Prunotto / Pian Romualdo - Tutte - Tutti + Folder 80,Michele Chiarlo SRL - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Folder 80,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Folder 80,Ca' Rome' - Tutte - Tutti + Folder 80,Soc. Coop. Pusabren - Tutte - Tutti + Folder 80,Soc. Coop. Pusabren - Tutte - Tutti + Folder 80,Antinori Soc. Agricola ARL - Tutte - Tutti + Folder 80,La Cardinala - Tutte - Tutti + Folder 80,Corino - Tutte - Tutti + Folder 80,Bello Mario / Vite - Tutte - Tutti + Folder 80,Bruno Gianluca - Tutte - Tutti + Folder 80,Carlin De Paolo - Tutte - Tutti + Folder 80,Prunotto / Pian Romualdo - Tutte - Tutti + Folder 80,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Folder 80,Prunotto / Alba - Tutte - Tutti + Folder 80,Soc. Coop. Pusabren - Tutte - Tutti + Folder 80,Michele Chiarlo SRL - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Folder 80,Prunotto / Asti - Tutte - Tutti + Folder 80,Prunotto / Diano - Tutte - Tutti + Folder 80,Prunotto / Pian Romualdo - Tutte - Tutti + Folder 80,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Folder 80,Ca' Rome' - Tutte - Tutti + Folder 80,Antinori Soc. Agricola ARL - Tutte - Tutti + Folder 80,Carlin De Paolo - Tutte - Tutti + Folder 80,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Folder 80,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Folder 80,Guido Berta - Tutte - Tutti + Folder 80,Guido Berta - Tutte - Tutti + Folder 80,Rubbiolo Matteo - Tutte - Tutti + Folder 80,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Folder 80,Paolo Scavino di Enrico Scavino - Tutte - Tutti + Folder 80,La Cardinala - Pinot nero - Tutti + Folder 80,Mauro Sebaste - Albese - Tutti + Folder 80,Mauro Sebaste - Astigiano - Tutti + Folder 80,Mauro Sebaste - Roncaglie - Tutti + Folder 80,Antinori Soc. Agricola ARL - Tutte - Tutti + Folder 80,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Folder 80,Carlin De Paolo - Tutte - Tutti + Folder 80",,9/5/2022
Lion 5 EC,Quizalofop-p-etil,infestanti,14375,litrio,,,18/5/2022
Missito,Acido pelargonico,infestanti,16767,l,,,18/5/2022
Solobor,Boro,,,kg,,,20/5/2022
Phylgreen,Alghe,fisiopatie,,l,,,28/5/2022
Tomiris 125,"tetraconazolo 11,60% (= 125,00 g/L)",Oidio,15930,l,,,30/5/2022
Enervin Sc,Ametocradina,Peronospora,15264,l,"Mauro Sebaste - Albese - Tutti + Enervin Sc,Mauro Sebaste - Astigiano - Tutti + Enervin Sc,Mauro Sebaste - Roncaglie - Tutti + Enervin Sc,Paolo Scavino di Enrico Scavino - Tutte - Tutti + Enervin Sc,Prunotto / Alba - Tutte - Tutti + Enervin Sc,Prunotto / Diano - Tutte - Tutti + Enervin Sc,Prunotto / Asti - Tutte - Tutti + Enervin Sc,Michele Chiarlo SRL - Tutte - Tutti + Enervin Sc,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Enervin Sc,Ca' Rome' - Tutte - Tutti + Enervin Sc,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Enervin Sc,Antinori Soc. Agricola ARL - Tutte - Tutti + Enervin Sc,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Enervin Sc,Soc. Coop. Pusabren - Tutte - Tutti + Enervin Sc,Carlin De Paolo - Tutte - Tutti + Enervin Sc,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Enervin Sc,Rubbiolo Matteo - Tutte - Tutti + Enervin Sc,Prunotto / Pian Romualdo - Tutte - Tutti + Enervin Sc",,31/5/2022
Potassium 33,,Fisiopatie,,l,,,31/5/2022
Zolfo Scorrevole miniera,zolfo,oidio,,kg,Prunotto / Alba - Tutte - Tutti + Zolfo Scorrevole miniera,,4/6/2022
Armicarb,Bicarbonato di potassio,oidio,,kg,,,7/7/2022
Grifon Più,Idrossido di Rame 14% + Ossicloruro di Rame 14%,Peronospora,12748,kg,,,8/7/2022
Manamid 100 sc,Cyazofamid,Peronospora,16950,l,,,11/7/2022
Thiamon 80,zolfo,oidio,13719,kg,,,12/7/2022
Tricup Flow,Rame tribasico,peronospora,16170,l,,,21/7/2022
Kumulus tecno,zolfo puro 80 %,oidio,,kg,,,22/7/2022
Sonata,Bacillus Pumillus,Oidio,17350,l,,,24/7/2022
Seaweed Eklonia,Alghe Brune,Fisiopatie,,l,,,2/5/2023
Acadian MPE,Alghe Brune,Fisipatie,,kg,,,2/5/2023
Zorvec Vinabria,Oxathiapiprolin 10 g/L +Folpet 500 g/L,Peronospora,16957,l,,,19/5/2023
Revysion ,"Mefentrifluconazolo g 7,12 (75 g/l)",Oidio,18137,l,"Mauro Sebaste - Albese - Tutti + Revysion ,Mauro Sebaste - Roncaglie - Tutti + Revysion ,Mauro Sebaste - Astigiano - Tutti + Revysion ,Paolo Scavino di Enrico Scavino - Tutte - Tutti + Revysion ,La Cardinala - Merlot e Cabernet - Tutti + Revysion ,La Cardinala - Chardonnay - Tutti + Revysion ,La Cardinala - Syrah - Tutti + Revysion ,Prunotto / Alba - Tutte - Tutti + Revysion ,Prunotto / Diano - Tutte - Tutti + Revysion ,Prunotto / Asti - Tutte - Tutti + Revysion ,Michele Chiarlo SRL - Tutte - Tutti + Revysion ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Revysion ,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Revysion ,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Revysion ,Ca' Rome' - Tutte - Tutti + Revysion ,Soc. Coop. Pusabren - Tutte - Tutti + Revysion ,Antinori Soc. Agricola ARL - Tutte - Tutti + Revysion ,Carlin De Paolo - Tutte - Tutti + Revysion ,Prunotto / Pian Romualdo - Tutte - Tutti + Revysion ,Rubbiolo Matteo - Tutte - Tutti + Revysion ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Revysion ,Carlin De Paolo - Tutte - Tutti + Revysion ,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Revysion ,Mauro Sebaste - Albese - Tutti + Revysion ,Mauro Sebaste - Roncaglie - Tutti + Revysion ,Mauro Sebaste - Astigiano - Tutti + Revysion ,Prunotto / Diano - Tutte - Tutti + Revysion ,Antinori Soc. Agricola ARL - Tutte - Tutti + Revysion ,Prunotto / Pian Romualdo - Tutte - Tutti + Revysion ,Carlin De Paolo - Tutte - Tutti + Revysion ,Soc. Coop. Pusabren - Tutte - Tutti + Revysion ,Michele Chiarlo SRL - Tutte - Tutti + Revysion ,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Revysion ,Prunotto / Asti - Tutte - Tutti + Revysion ,Prunotto / Alba - Tutte - Tutti + Revysion ,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Revysion ,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Revysion ,Ca' Rome' - Tutte - Tutti + Revysion ,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Revysion ,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Revysion ,Rubbiolo Matteo - Tutte - Tutti + Revysion ",,19/5/2023
Ibisco,"chito-oligosaccaridi oligo-galaturonidi 12,5 g/L",oidio,16509,l,,,20/5/2023
Basfoliar Fruit Sp,,Fisiopatie,,kg,,,29/5/2023
Agroleaf Power 15/10/31,,Fisiopatie,,kg,,,29/5/2023
Biopiren Plus,"Piretrine pure...2,00 g/100",Scaphoideus titanus,,l,"L'Alegra / Vite - Tutte - Tutti + Biopiren Plus,L'Alegra / Vite - Tutte - Tutti + Biopiren Plus",,6/6/2023
Blackjack Bio,,fisiopatie,,l,,,17/6/2023
Sinala,Olio essenziale di arancio dolce,Scaphoideus,,litri,,,21/6/2023
Leimay,Amisulbron 200 gr/l,Peronospora,,l,,,24/6/2023
Magnesio green,Magnesio,Fisiopatie,,kg,,,2/7/2023
Prev- Am plus,estratto di olio di arancio,Flavescenza dorata,,litri,,,2/7/2023
Microsap Algeskha Mg,Magnesio,Fisiopatie,,kg,,,3/7/2023
Tribasic flow new,Solfato tribasico 190 g/L,Peronospora,17479,l,,,6/7/2023
Zolfo flow,Zolfo 600 g/L,oidio,15358,l,,,19/7/2023
Tiovit jet,zolfo 80,Oidio,2923,Kg,,,25/7/2023
Vitikappa,Bicarbonato di potassio,Oidio,16976,kg,,,25/7/2023
Pyganic ,Piretro ,Scaphoideus,,l,,,7/6/2024
Enervin Sc,Ametocradina,Peronospora ,15264,l,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Enervin Sc,,9/6/2024
Arnos,Ametocradina,Peronospora,17923,litri,,,10/6/2024
Lidal,Tetraconazolo 40 g/L,Oidio,14020,litri,,,13/6/2024
Coprantol 30 WG,Ossicloruro di rame ,Peronospora,17372,kg,,,13/6/2024
Vitene Ultra SC,Cimoxanil 225 g/L,Peronospora,,l,,,18/6/2024
Zongruum,Amisulbron,Peronospora,18206,litri,,,20/6/2024
Foltan 50 SC,folpan 500 g/L,Peronospora,,litri,,,26/6/2024
Ossiclor 35,Rame 35 %,Peronospora,,Kg,"L'Alegra / Vite - Tutte - Tutti + Ossiclor 35,L'Alegra / Vite - Tutte - Tutti + Ossiclor 35,L'Alegra / Vite - Tutte - Tutti + Ossiclor 35,L'Alegra / Vite - Tutte - Tutti + Ossiclor 35,L'Alegra / Vite - Tutte - Tutti + Ossiclor 35,L'Alegra / Vite - Tutte - Tutti + Ossiclor 35,L'Alegra / Vite - Tutte - Tutti + Ossiclor 35",,27/6/2024
Calcio Green Forty,Ossido di calcio,Fisiopatie,,Kg,,,5/7/2024
Vintage C dispers,Benthiavalicarb + Rame,Peronospora,,KG,,,6/7/2024
Spirit 50,Dimetomorf,Peronospora,,l,,,6/7/2024
Liquizol M,Zolfo 675 g/L,Oidio,,litri,,,16/7/2024
Vitisan ,Cimoxanil 45%,Peronospora,,kg,,,16/7/2024
Zolvis 80,zolfo 80 %,oidio,,kg,,,20/8/2024
Coprantol trio (Nocciolo),Rame solfato tribasico 142 g/l,Cytospora Corylicola,13856,l,,,11/11/2024
Spirostar,Spiroxamina,Oidio,,litri,Rubbiolo Matteo - Tutte - Tutti + Spirostar,,7/5/2025
KAIZ' N,Azoto totale,fisiopatie,,kg,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + KAIZ' N,,15/5/2025
FRONTIERE,Alghe brune,Peronospora,,litri,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + FRONTIERE,,15/5/2025
Taifun MK cl,Glifosate 360 g/L,Infestanti,,litro,"Prunotto / Asti - Calliano - Tutti + Taifun MK cl,Prunotto / Asti - Agliano  - Tutti + Taifun MK cl,Prunotto / Diano - Tutte - Tutti + Taifun MK cl,Antinori Soc. Agricola ARL - Tutte - Tutti + Taifun MK cl,Prunotto / Alba - Tutte - Tutti + Taifun MK cl,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Taifun MK cl,Ca' Rome' - Tutte - Tutti + Taifun MK cl,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Taifun MK cl",,17/5/2025
lecitina,,,,litri,"Prunotto / Asti - Agliano  - Tutti + lecitina,Prunotto / Diano - Tutte - Tutti + lecitina,Antinori Soc. Agricola ARL - Tutte - Tutti + lecitina,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + lecitina",,17/5/2025
Rame,rame,,,kg,"Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Rame,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Rame,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Rame,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Rame,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Rame,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Rame",,5/6/2025
Biopiren plus,Piretro,Cicaline,,litri,L'Alegra / Vite - Tutte - Tutti + Biopiren plus,,5/6/2025
Voliam,"Chlorantraniliprole g 18,4",Tignole,17888,l,"Paolo Scavino di Enrico Scavino - Tutte - Tutti + Voliam,Prunotto / Diano - Tutte - Tutti + Voliam,Antinori Soc. Agricola ARL - Tutte - Tutti + Voliam,Prunotto / Pian Romualdo - Tutte - Tutti + Voliam,Carlin De Paolo - Tutte - Tutti + Voliam,Prunotto / Asti - Tutte - Tutti + Voliam,Prunotto / Alba - Tutte - Tutti + Voliam,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Voliam,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Voliam,Ca' Rome' - Tutte - Tutti + Voliam",,17/6/2025
BioBIt,Bacillus thuringiensis subsp. kurstaki,Tignole,13061,kg,"Tenute del Vino - Vigneti 360 - Ponti - Tutti + BioBIt,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BioBIt,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BioBIt,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BioBIt,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BioBIt,Cascina Alberta - Tutte - Tutti + BioBIt,Tenute del Vino - Vigneti 360 - Ponti - Tutti + BioBIt,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BioBIt,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BioBIt,Michele Chiarlo SRL - Tutte - Tutti + BioBIt,Prunotto / Pian Romualdo - Tutte - Tutti + BioBIt,Prunotto / Alba - Tutte - Tutti + BioBIt,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + BioBIt,Ca' Rome' - Tutte - Tutti + BioBIt,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + BioBIt,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + BioBIt,Tenute del Vino - La Vite d'Oro - Barolo - Tutti + BioBIt,Carlin De Paolo - Tutte - Tutti + BioBIt,Carlin De Paolo - Tutte - Tutti + BioBIt,Prunotto / Asti - Agliano  - Tutti + BioBIt,Michele Chiarlo SRL - Tutte - Tutti + BioBIt,Prunotto / Diano - Tutte - Tutti + BioBIt,Antinori Soc. Agricola ARL - Tutte - Tutti + BioBIt,Cascina Alberta - Tutte - Tutti + BioBIt",,22/6/2025
Score 25 sc,Difeconazolo 250 g/L,Oidio,,litri,"Prunotto / Alba - Tutte - Tutti + Score 25 sc,Azienda Agricola Chiarlo S.S / Alba - Tutte - Tutti + Score 25 sc,Az. Agrivinicola Sylla Sebaste - Tutte - Tutti + Score 25 sc,Ca' Rome' - Tutte - Tutti + Score 25 sc,Prunotto / Asti - Tutte - Tutti + Score 25 sc,Michele Chiarlo SRL - Tutte - Tutti + Score 25 sc,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Score 25 sc,Prunotto / Asti - Tutte - Tutti + Score 25 sc,Michele Chiarlo SRL - Tutte - Tutti + Score 25 sc,Prunotto / Diano - Tutte - Tutti + Score 25 sc,Antinori Soc. Agricola ARL - Tutte - Tutti + Score 25 sc",,2/7/2025
Brek,Tetraconazolo,Oidio,12439,l,"Soc. Coop. Pusabren - Tutte - Tutti + Brek,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Brek",,2/7/2025
Decis Evo,Deltametrina,Tignola - Scaphoideus ,,1234,"Michele Chiarlo SRL - Tutte - Tutti + Decis Evo,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Decis Evo,Soc. Coop. Pusabren - Tutte - Tutti + Decis Evo,Prunotto / Asti - Tutte - Tutti + Decis Evo,Carlin De Paolo - Tutte - Tutti + Decis Evo,Saracco Pierluigi di Lanata Francesca - Tutte - Tutti + Decis Evo,Prunotto / Pian Romualdo - Tutte - Tutti + Decis Evo,Mauro Sebaste - Astigiano - Tutti + Decis Evo",,17/7/2025
Affirm,,Tignole,,kg,"Soc. Coop. Pusabren - Tutte - Tutti + Affirm,Prunotto / Asti - Agliano  - Tutti + Affirm,Michele Chiarlo SRL - Tutte - Tutti + Affirm,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Affirm,Prunotto / Diano - Tutte - Tutti + Affirm,Antinori Soc. Agricola ARL - Tutte - Tutti + Affirm",,30/7/2025
Primal ,Bacillus Thuringensis,Tignole,,Kg,"Prunotto / Asti - Agliano  - Tutti + Primal ,Azienda Agricola Chiarlo S.S / Asti - Tutte - Tutti + Primal ,Michele Chiarlo SRL - Tutte - Tutti + Primal ",,10/8/2025
Lepinox,Bacillus Thuringensis,1,,kg,"Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Lepinox,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Lepinox",,12/8/2025
Lepinox,Bacillus Thuringensis,Tignole,,Kg,Bussia Soprana di Casiraghi Silvano - Tutte - Tutti + Lepinox,,12/8/2025
Kuprik flow,solfato di rame,peronospora,,litri,"Tenute del Vino - La Vite d'Oro - Barolo - Tutti + Kuprik flow,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Kuprik flow,Tenute del Vino - La Vite d'Oro - Tirados - Tutti + Kuprik flow",,20/8/2025